name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
Howard College,,,,,,,,,,,,,,,,,,,,,,,,,,4130,13,3,10,31,12,19,139,58,81,1851,617,1234,2,1,1,1952,762,1190,109,38,71,17,4,13
Howard Payne University,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,1100,3,2,1,4,1,3,100,80,20,213,110,103,1,1,0,725,351,374,38,22,16,14,11,3
Huston-Tillotson University,9,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,926,1,0,1,4,2,2,676,299,377,167,87,80,0,0,0,37,20,17,3,1,2,7,3,4
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,4,3,1,19,6,13,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,0,0,0,2,2,0,27,6,21,0,0,0,1,0,1,0,0,0,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,1,1,0,8,1,7,12,3,9,4,4,0,0,0,0,0,0,0,0,0,0
International Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,0,0,29,7,22,5,0,5,13,0,13,0,0,0,7,0,7,0,0,0,0,0,0
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,196,0,0,0,0,0,0,6,4,2,175,72,103,0,0,0,15,8,7,0,0,0,0,0,0
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,195,0,0,0,0,0,0,9,5,4,163,76,87,0,0,0,23,7,16,0,0,0,0,0,0
Jacksonville College-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,524,3,1,2,3,0,3,58,23,35,193,87,106,2,1,1,246,112,134,12,4,8,0,0,0
Jarvis Christian College,5,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,633,1,1,0,0,0,0,545,270,275,46,35,11,2,2,0,39,26,13,0,0,0,0,0,0
