name,tenured_total,white_tenured,white_men_tenured,white_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,ind_tenured,ind_men_tenured,ind_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,white_student,white_men_student,white_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,asian_student,asian_men_student,asian_women_student,ind_student,ind_men_student,ind_women_student,unknown_student,unknown_men_student,unknown_women_student
The University of Texas Health Science Center at Houston,246,207,144,63,5,4,1,8,6,2,26,18,8,0,0,0,0,0,0,2196,424,98,326,144,19,125,1469,308,1161,16,5,11,9,4,5,111,25,86
Texas Tech University Health Sciences Center,138,111,87,24,2,2,0,8,7,1,15,14,1,1,1,0,0,0,0,11971,738,326,412,50,30,20,10312,4237,6075,126,42,84,18,11,7,520,204,316
Victoria College,66,63,32,31,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,8607,375,159,216,24,14,10,8120,3099,5021,19,8,11,4,1,3,13,6,7
Wayland Baptist University,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,1156,412,744,275,69,206,35,12,23,12,6,6,7,1,6,0,0,0
West Texas A & M University,79,74,57,17,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,3290,2681,1077,1604,443,139,304,85,25,60,22,7,15,50,17,33,1,0,1
Wiley College,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,828,17,4,13,736,354,382,27,12,15,0,0,0,0,0,0,25,25,0
Palo Alto College,70,46,23,23,5,2,3,18,11,7,0,0,0,1,1,0,0,0,0,5387,132,51,81,5040,2201,2839,88,37,51,33,15,18,1,0,1,3,1,2
,,,,,,,,,,,,,,,,,,,,841,569,219,350,135,101,34,113,50,63,3,0,3,4,3,1,11,4,7
,,,,,,,,,,,,,,,,,,,,2728,1453,812,641,190,96,94,293,134,159,389,180,209,15,8,7,312,151,161
,,,,,,,,,,,,,,,,,,,,13313,6057,2744,3313,2088,816,1272,1853,842,1011,1830,956,874,65,31,34,358,193,165
,,,,,,,,,,,,,,,,,,,,3369,1887,832,1055,184,70,114,949,390,559,71,39,32,17,6,11,133,59,74
,,,,,,,,,,,,,,,,,,,,8326,2469,1101,1368,1504,547,957,4147,1961,2186,157,75,82,33,15,18,1,1,0
,,,,,,,,,,,,,,,,,,,,1836,761,271,490,106,26,80,536,183,353,230,84,146,13,4,9,98,36,62
,,,,,,,,,,,,,,,,,,,,11273,8315,3633,4682,1702,668,1034,1035,465,570,104,51,53,56,25,31,0,0,0
,,,,,,,,,,,,,,,,,,,,20064,8707,3801,4906,916,340,576,9674,3902,5772,495,226,269,94,46,48,0,0,0
,,,,,,,,,,,,,,,,,,,,11139,6709,2958,3751,559,238,321,2961,1292,1669,437,208,229,42,14,28,211,108,103
,,,,,,,,,,,,,,,,,,,,791,638,240,398,15,9,6,115,53,62,7,2,5,9,3,6,0,0,0
,,,,,,,,,,,,,,,,,,,,49,26,1,25,2,0,2,21,3,18,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,2613,562,238,324,90,41,49,1791,710,1081,58,18,40,10,4,6,16,6,10
,,,,,,,,,,,,,,,,,,,,8267,5685,2750,2935,384,162,222,2050,850,1200,52,22,30,38,22,16,0,0,0
,,,,,,,,,,,,,,,,,,,,199,3,0,3,1,1,0,195,42,153,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,221,3,1,2,0,0,0,218,43,175,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,5836,4382,2032,2350,339,130,209,483,195,288,348,156,192,43,17,26,0,0,0
,,,,,,,,,,,,,,,,,,,,208,16,1,15,5,0,5,187,10,177,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,3856,781,329,452,55,42,13,2893,1019,1874,16,8,8,11,4,7,46,22,24
,,,,,,,,,,,,,,,,,,,,1607,1199,560,639,91,60,31,242,117,125,22,7,15,40,19,21,0,0,0
,,,,,,,,,,,,,,,,,,,,1320,1063,482,581,39,15,24,162,57,105,31,12,19,7,1,6,17,5,12
,,,,,,,,,,,,,,,,,,,,10300,7908,3408,4500,1550,536,1014,650,288,362,98,46,52,51,24,27,0,0,0
,,,,,,,,,,,,,,,,,,,,20179,14478,6415,8063,1018,447,571,3800,1789,2011,358,158,200,103,50,53,232,124,108
,,,,,,,,,,,,,,,,,,,,1163,579,201,378,165,76,89,178,76,102,65,26,39,12,3,9,9,4,5
,,,,,,,,,,,,,,,,,,,,197,1,1,0,174,95,79,3,0,3,0,0,0,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,1993,800,408,392,69,56,13,1098,440,658,10,6,4,8,6,2,2,2,0
,,,,,,,,,,,,,,,,,,,,6715,5671,2585,3086,450,220,230,439,213,226,51,17,34,61,29,32,3,1,2
,,,,,,,,,,,,,,,,,,,,28852,19422,8432,10990,3489,1179,2310,3948,1675,2273,1642,827,815,223,106,117,0,0,0
,,,,,,,,,,,,,,,,,,,,3585,2636,1079,1557,411,136,275,473,170,303,31,15,16,27,11,16,0,0,0
,,,,,,,,,,,,,,,,,,,,215,122,33,89,27,9,18,22,6,16,12,4,8,3,1,2,24,4,20
,,,,,,,,,,,,,,,,,,,,896,405,130,275,58,15,43,336,106,230,38,12,26,4,2,2,48,6,42
,,,,,,,,,,,,,,,,,,,,562,345,42,303,68,16,52,86,18,68,38,6,32,3,0,3,18,2,16
,,,,,,,,,,,,,,,,,,,,3875,3128,1264,1864,689,206,483,37,14,23,11,4,7,4,2,2,0,0,0
,,,,,,,,,,,,,,,,,,,,5003,1331,706,625,258,152,106,3292,1604,1688,27,13,14,10,7,3,8,4,4
,,,,,,,,,,,,,,,,,,,,36603,30040,15315,14725,889,365,524,3283,1697,1586,1203,667,536,187,107,80,529,280,249
,,,,,,,,,,,,,,,,,,,,16329,9446,4451,4995,2131,735,1396,1994,893,1101,1812,934,878,131,64,67,0,0,0
,,,,,,,,,,,,,,,,,,,,38609,24199,11808,12391,1335,567,768,5236,2542,2694,6124,3148,2976,164,73,91,212,87,125
,,,,,,,,,,,,,,,,,,,,7490,4280,2227,2053,551,256,295,637,319,318,1601,861,740,38,16,22,41,13,28
,,,,,,,,,,,,,,,,,,,,13642,1609,751,858,330,190,140,9890,4232,5658,166,84,82,41,20,21,0,0,0
,,,,,,,,,,,,,,,,,,,,2696,2279,808,1471,230,51,179,100,40,60,27,9,18,28,9,19,5,2,3
,,,,,,,,,,,,,,,,,,,,6885,5415,2215,3200,307,137,170,395,187,208,128,53,75,36,15,21,297,171,126
,,,,,,,,,,,,,,,,,,,,511,4,2,2,494,183,311,9,3,6,3,2,1,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,16,14,2,12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,1473,1050,461,589,80,43,37,247,122,125,29,15,14,11,6,5,11,7,4
,,,,,,,,,,,,,,,,,,,,1780,1048,347,701,56,20,36,635,223,412,16,10,6,10,7,3,11,4,7
,,,,,,,,,,,,,,,,,,,,16856,6862,3135,3727,931,405,526,8037,3598,4439,658,318,340,76,41,35,0,0,0
,,,,,,,,,,,,,,,,,,,,6485,74,35,39,5807,2561,3246,161,82,79,130,62,68,6,3,3,0,0,0
,,,,,,,,,,,,,,,,,,,,21269,17608,9326,8282,641,371,270,2169,1210,959,463,275,188,116,64,52,113,57,56
,,,,,,,,,,,,,,,,,,,,1714,998,370,628,296,75,221,275,99,176,50,20,30,19,7,12,25,3,22
,,,,,,,,,,,,,,,,,,,,4405,2685,167,2518,923,18,905,479,42,437,201,12,189,31,4,27,0,0,0
,,,,,,,,,,,,,,,,,,,,2383,1663,814,849,51,36,15,248,112,136,159,77,82,15,7,8,205,90,115
,,,,,,,,,,,,,,,,,,,,332,201,17,184,46,5,41,42,2,40,40,9,31,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,463,380,51,329,18,5,13,46,10,36,16,5,11,1,0,1,1,1,0
,,,,,,,,,,,,,,,,,,,,8546,6169,2575,3594,1672,672,1000,517,223,294,101,47,54,38,11,27,0,0,0
,,,,,,,,,,,,,,,,,,,,1650,624,619,5,142,141,1,327,326,1,32,32,0,11,11,0,510,503,7
,,,,,,,,,,,,,,,,,,,,268,6,0,6,1,0,1,259,9,250,2,1,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,2269,1760,713,1047,170,46,124,257,105,152,41,16,25,33,11,22,0,0,0
,,,,,,,,,,,,,,,,,,,,80,25,0,25,17,4,13,36,3,33,1,0,1,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,4010,2584,984,1600,191,43,148,1168,399,769,44,20,24,9,5,4,0,0,0
,,,,,,,,,,,,,,,,,,,,5028,2462,1449,1013,768,400,368,665,334,331,109,72,37,40,20,20,972,556,416
,,,,,,,,,,,,,,,,,,,,3161,2420,937,1483,60,27,33,173,69,104,27,8,19,22,10,12,424,195,229
,,,,,,,,,,,,,,,,,,,,5395,4312,1842,2470,184,105,79,685,308,377,76,32,44,37,22,15,0,0,0
,,,,,,,,,,,,,,,,,,,,1367,972,542,430,120,98,22,258,139,119,7,4,3,6,5,1,0,0,0
,,,,,,,,,,,,,,,,,,,,5282,3296,1413,1883,537,149,388,1121,436,685,258,113,145,9,6,3,44,23,21
,,,,,,,,,,,,,,,,,,,,584,10,10,0,515,223,292,4,2,2,0,0,0,2,0,2,0,0,0
